scode,name,IndustryName,IndustryCode,Listed date,Listed year,year,business,DYNA,MUNI,liva,收入熵系数,差异化战略词频占比1,差异化战略词频占比2,成本领先战略占比1,成本领先战略占比2,组织规模,ESG综合评级,ESG综合得分,数字化转型词频占比1,数字化转型词频占比2,成本黏性
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2016,2,0.0025,0.1648,-0.25852972,0.628387559539851,0.00335095173938577,0.0059301827963563,0.00511279234462984,0.00904811395732714,12.7609932469421,C,59.25,0.000103366295696517,0.000187692384694312,-1.215491936
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2017,2,0.0023,0.1672,-0.340900851,0.88498467305453,0.00376508447304907,0.00677867902665122,0.00547063555913113,0.00984936268829664,12.6069307450592,CC,63.77,3.9417151716617e-05,6.98055914278734e-05,-0.1759303
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2018,2,0.0021,0.1695,0.0957773405721229,0.589502923326865,0.00392815281781607,0.00701873549555669,0.00576551461969779,0.0103016924208977,12.7721566660844,CCC,68.96,7.84006272050176e-05,0.000137978613314936,0.0808061843231149
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2019,2,0.0019,0.1718,-0.091367907,0.333621873368522,0.00384115523465704,0.00676672602391249,0.00537184115523466,0.00946324090562198,13.2847367830432,CCC,68.1,0.000498304618768328,0.000907185535083054,-0.617647541
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2020,2,0.0018,0.174,-0.088983322,0.642471229194493,0.00399578886921568,0.00713553238762605,0.0048571565296454,0.00867373098615621,13.6338627139349,CCC,69.81,0.00282786116548278,0.00507123883120019,0.103627371147318
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2021,2,0.0017,0.1762,0.0568779921321331,0.307717287550336,0.00475537265660722,0.00842924298913924,0.00477823502514861,0.0084697681958178,13.8950861726342,B,70.62,0.00416042602762523,0.0074602740407331,-0.347265163
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2022,2,0.0016,0.1783,0.0456925716135421,0.277226495327704,0.00670968345256464,0.011797591153862,0.00617197362883995,0.0108521395979776,14.1287047412631,B,71.49,0.000515023915230879,0.000901404688973651,0.146894385710223
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2023,2,0.0015,0.1804,1.105919826430254,0.381864363220502,0.00692026556519106,0.0121189168718046,0.00581734824073874,0.0101874644953607,14.1239089833525,B,70.19,0.00080832252525437,0.00137315748642358,0.461927539264372
628,高新发展,房屋建筑业,E47,1996/11/18,1996,2024,2,0.0014,0.1825,0.1125862669098052,,,,,,14.2020006303801,CC,60.94,0.00123176868296555,0.00215949899623287,
711,*ST 京蓝,土木工程建筑业,E48,1997/4/11,1997,2014,,0.0041,0.1523,,,0.0010361718161266,0.00179401451520835,0.00635832705350415,0.0110087254342331,,,,,,
